Vata,Pitta,Kapha,Dosha_Type
114,48,53,Vata
54,69,107,Kapha
20,96,31,Pitta
63,117,15,Pitta
107,49,109,Kapha-Vata
104,89,41,Vata
3,116,50,Pitta
64,3,43,Vata
96,47,4,Vata
121,30,128,Kapha
49,82,46,Pitta
147,32,133,Vata
45,143,74,Pitta
28,58,81,Kapha
108,132,38,Pitta
135,42,26,Vata
148,116,101,Vata
103,17,11,Vata
10,127,23,Pitta
110,128,118,Pitta
83,110,58,Pitta
122,40,137,Kapha
115,72,59,Vata
55,55,47,Vata-Pitta
127,149,39,Pitta
122,76,16,Vata
105,28,90,Vata
137,116,128,Vata
17,97,21,Pitta
5,40,108,Kapha
32,85,11,Pitta
100,101,132,Kapha
61,26,142,Kapha
116,69,85,Vata
125,64,1,Vata
109,5,143,Kapha
27,56,87,Kapha
16,111,62,Pitta
43,95,38,Pitta
137,89,22,Vata
109,68,62,Vata
140,70,141,Kapha-Vata
113,97,84,Vata
108,101,33,Vata
64,63,3,Vata-Pitta
148,75,21,Vata
127,3,53,Vata
119,35,69,Vata
150,103,27,Vata
64,148,33,Pitta
126,143,67,Pitta
53,131,63,Pitta
32,0,143,Kapha
134,85,145,Kapha
45,122,84,Pitta
87,97,65,Pitta
136,139,104,Pitta-Vata
124,142,138,Pitta-Kapha
15,23,20,Pitta-Kapha
2,122,139,Kapha
125,48,108,Vata
14,84,29,Pitta
5,81,49,Pitta
59,51,55,Vata
76,147,9,Pitta
87,48,39,Vata
149,120,59,Vata
107,82,13,Vata
3,135,10,Pitta
124,39,24,Vata
43,43,122,Kapha
29,117,109,Pitta
27,146,121,Pitta
125,101,101,Vata
89,66,132,Kapha
113,73,8,Vata
81,22,79,Vata-Kapha
87,52,30,Vata
62,54,123,Kapha
69,124,145,Kapha
9,57,40,Pitta
126,23,4,Vata
59,19,120,Kapha
7,143,84,Pitta
15,130,136,Kapha
0,73,38,Pitta
19,0,77,Kapha
132,68,61,Vata
88,107,70,Pitta
12,69,149,Kapha
47,71,137,Kapha
121,24,72,Vata
118,117,60,Vata-Pitta
99,49,7,Vata
98,2,40,Vata
99,1,19,Vata
83,142,131,Pitta
135,49,4,Vata
66,124,146,Kapha
136,72,135,Vata-Kapha
78,74,111,Kapha
63,113,34,Pitta
119,17,85,Vata
78,14,65,Vata
95,119,129,Kapha
150,66,59,Vata
87,115,95,Pitta
85,28,116,Kapha
56,146,132,Pitta
137,42,15,Vata
83,3,5,Vata
117,100,37,Vata
62,96,90,Pitta
37,111,76,Pitta
99,95,148,Kapha
40,85,73,Pitta
77,1,11,Vata
71,140,133,Pitta
31,57,79,Kapha
35,106,76,Pitta
146,101,147,Kapha-Vata
5,110,49,Pitta
110,4,30,Vata
46,126,4,Pitta
8,96,63,Pitta
106,36,150,Kapha
117,106,146,Kapha
37,40,90,Kapha
118,131,50,Pitta
85,111,121,Kapha
101,0,98,Vata-Kapha
74,16,33,Vata
2,66,68,Kapha-Pitta
88,121,39,Pitta
22,16,40,Kapha
139,56,105,Vata
83,33,117,Kapha
111,97,115,Kapha-Vata
144,85,79,Vata
81,93,119,Kapha
38,141,74,Pitta
6,135,25,Pitta
34,90,122,Kapha
127,95,150,Kapha
109,125,45,Pitta
81,7,127,Kapha
73,14,47,Vata
94,129,47,Pitta
21,143,58,Pitta
85,20,5,Vata
138,30,30,Vata
105,68,10,Vata
22,48,84,Kapha
18,87,113,Kapha
8,148,6,Pitta
17,26,57,Kapha
12,93,73,Pitta
50,79,136,Kapha
110,58,80,Vata
143,23,62,Vata
64,56,118,Kapha
118,29,84,Vata
107,25,147,Kapha
132,107,102,Vata
121,41,116,Vata-Kapha
60,4,70,Kapha
90,83,10,Vata
96,3,84,Vata
143,15,40,Vata
112,50,67,Vata
116,103,101,Vata
15,66,140,Kapha
123,101,29,Vata
51,133,122,Pitta
31,86,97,Kapha
24,138,48,Pitta
81,31,94,Kapha
92,58,96,Kapha-Vata
15,132,149,Kapha
68,56,74,Kapha
15,52,23,Pitta
11,95,26,Pitta
138,91,8,Vata
141,23,75,Vata
19,52,60,Kapha
114,21,61,Vata
56,70,53,Pitta
84,120,88,Pitta
101,118,150,Kapha
139,113,31,Vata
53,88,136,Kapha
61,63,9,Pitta-Vata
11,67,128,Kapha
79,1,80,Kapha-Vata
73,59,78,Kapha-Vata
128,93,58,Vata
5,124,96,Pitta
111,110,149,Kapha
119,42,92,Vata
122,12,66,Vata
44,20,143,Kapha
150,53,98,Vata
46,10,102,Kapha
86,131,75,Pitta
49,126,0,Pitta
92,65,114,Kapha
24,82,128,Kapha
93,49,147,Kapha
24,16,116,Kapha
66,10,120,Kapha
43,84,78,Pitta
65,12,29,Vata
106,130,99,Pitta
49,11,129,Kapha
110,13,122,Kapha
80,66,11,Vata
147,132,107,Vata
5,56,76,Kapha
99,67,19,Vata
114,19,123,Kapha
54,130,121,Pitta
141,133,17,Vata
124,103,127,Kapha-Vata
6,100,5,Pitta
74,150,74,Pitta
145,117,80,Vata
138,113,126,Vata
119,18,128,Kapha
1,27,61,Kapha
53,57,142,Kapha
6,60,118,Kapha
93,17,14,Vata
112,136,69,Pitta
86,115,112,Pitta-Kapha
102,25,102,Vata-Kapha
48,45,83,Kapha
147,17,54,Vata
62,76,61,Pitta
86,133,26,Pitta
13,33,114,Kapha
83,100,17,Pitta
77,58,34,Vata
131,144,55,Pitta
80,117,70,Pitta
113,22,25,Vata
81,5,122,Kapha
38,107,117,Kapha
49,150,88,Pitta
124,128,98,Pitta-Vata
32,71,124,Kapha
116,13,21,Vata
67,11,74,Kapha
70,98,31,Pitta
9,71,79,Kapha
84,3,62,Vata
41,142,0,Pitta
135,123,15,Vata
94,146,28,Pitta
102,40,7,Vata
149,150,59,Pitta-Vata
127,102,86,Vata
77,141,118,Pitta
5,26,17,Pitta
138,50,10,Vata
142,97,40,Vata
3,81,45,Pitta
21,124,124,Pitta-Kapha
77,121,57,Pitta
44,51,34,Pitta
139,88,54,Vata
91,100,124,Kapha
140,102,53,Vata
72,112,85,Pitta
92,51,27,Vata
150,112,40,Vata
110,19,98,Vata
49,20,68,Kapha
109,59,150,Kapha
134,78,127,Vata
10,76,53,Pitta
52,49,120,Kapha
40,137,61,Pitta
36,59,31,Pitta
135,105,119,Vata
45,111,28,Pitta
115,82,103,Vata
109,60,101,Vata
69,68,39,Vata-Pitta
46,0,3,Vata
73,63,34,Vata
99,46,6,Vata
91,137,17,Pitta
11,144,101,Pitta
137,46,82,Vata
115,101,20,Vata
98,131,140,Kapha
102,40,103,Kapha-Vata
120,36,146,Kapha
41,73,12,Pitta
55,59,134,Kapha
47,85,134,Kapha
29,39,95,Kapha
52,98,124,Kapha
97,31,126,Kapha
65,47,77,Kapha
14,27,80,Kapha
145,147,128,Pitta-Vata
60,91,49,Pitta
97,116,93,Pitta
81,121,103,Pitta
129,68,128,Vata-Kapha
77,144,115,Pitta
95,148,109,Pitta
122,105,106,Vata
17,141,67,Pitta
123,102,81,Vata
73,30,105,Kapha
108,90,34,Vata
28,119,56,Pitta
78,122,65,Pitta
39,7,109,Kapha
22,52,49,Pitta-Kapha
145,18,114,Vata
146,125,22,Vata
42,127,109,Pitta
17,2,90,Kapha
121,90,61,Vata
94,113,94,Pitta
125,138,95,Pitta
52,39,82,Kapha
75,75,81,Kapha
136,16,115,Vata
57,6,86,Kapha
139,107,84,Vata
138,117,150,Kapha
19,16,69,Kapha
38,87,127,Kapha
98,18,22,Vata
114,11,39,Vata
35,39,64,Kapha
113,86,5,Vata
7,1,48,Kapha
145,60,68,Vata
74,16,133,Kapha
81,35,134,Kapha
0,54,30,Pitta
61,140,62,Pitta
26,60,130,Kapha
